"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;NAME_MATCH?;ADDRESS_MATCH?;ZIP_MATCH?;CITY_MATCH?;PHONE_MATCH?;VARDCENTRAL;HITTA_OR_ENIRO;COLOR
http://gulasidorna.eniro.se/f/aleris-h%C3%A4lsocentral-bolln%C3%A4s:49790121;Aleris Hälsocentral Bollnäs;Aleris Hälsocentral Bollnäs;Sjukhusv 81;82131;BollnÄs;0278-512997;www.aleris.se;EXACT;PARTIAL;EXACT;NO;NO;NO;ENIRO;YELLOW
http://gulasidorna.eniro.se/f/v%C3%A5rdcentralen-borensberg:7783391;Vårdcentralen Borensberg;Vårdcentralen Borensberg;Hamnv 3 B;59031;Borensberg;010-1059800;;EXACT;NO;EXACT;EXACT;EXACT;NO;ENIRO;YELLOW
http://www.hitta.se//borgholms+h%C3%A4lsocentral/borgholm/~TjsX1kAAK?vad=Borgholms+v%C3%A5rdcentral%2CTullgatan;Borgholms vårdcentral;Borgholms hälsocentral;Resedan 1;38735;Borgholm;0485-15120;http://www.ltkalmar.se/halsa-vard/halsocentraler/landstingets-halsocentraler/borgholms-halsocentral;PARTIAL;NO;NO;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentral+Domnarvet%2CBergebyv%C3%A4gen;Vårdcentral Domnarvet;Vårdcentral Domnarvet;Bergebyvägen 5;78473;Borlänge;0243-497250;;EXACT;PARTIAL;EXACT;EXACT;NO;NO;HITTA;YELLOW
http://gulasidorna.eniro.se/f/v%C3%A5rdcentral-l%C3%A4karhuset:14451896;Vårdcentral Läkarhuset;Vårdcentral Läkarhuset;Gyllehemsv 10;78460;BorlÄnge;0243-228008;www.lakarhusen.se;EXACT;PARTIAL;EXACT;NO;EXACT;NO;ENIRO;YELLOW
http://www.hitta.se//v%C3%A5rdcentralen+jakobsg%C3%A5rdarna/borl%C3%A4nge/~g2w-1qooJ?vad=V%C3%A5rdcentralen+Jakobsg%C3%A5rdarna%2CJaxtorget+7+A;Vårdcentralen Jakobsgårdarna;Vårdcentralen Jakobsgårdarna;Jaxtorget 7 A;78453;Borlänge;0243-497700;;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Kvarnsveden%2CM%C3%A4rkargatan+23;Vårdcentralen Kvarnsveden;Vårdcentralen Kvarnsveden;Märkargatan 23;78466;Borlänge;0243-497920;;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se//novakliniken/borrby/dl24nbuQB6?vad=Novakliniken+Borrby%2CKyrkostigen+2;Novakliniken Borrby;Novakliniken;Kyrkostigen 2;27630;Borrby;0411-20515;http://www.novakliniken.se;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://gulasidorna.eniro.se/f/all%C3%A9kliniken-sleipner:14681230;Allékliniken Sleipner;Allékliniken Sleipner;Allég 39;50332;BorÅs;033-7246400;www.alleklinikensleipner.se/pa...;EXACT;PARTIAL;EXACT;NO;EXACT;NO;ENIRO;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Herkules+V%C3%A5rdcentral%2CV%C3%A4sterl%C3%A5nggatan+1;Herkules Vårdcentral;Herkules Vårdcentral;Västerlånggatan 1;11129;Stockholm;033-205770;http://www.herkulesvardcentral.se;EXACT;EXACT;NO;NO;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Boda%2CSm%C3%B6rhulegatan+2;Vårdcentralen Boda;Närhälsa Boda vårdcentral;Smörhulegatan 2;50742;Borås;010-4358020,010-4358046,010-4358020;http://www.narhalsan.se/bodavardcentral;PARTIAL;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
